# GBA text BG tilemap.
# Cell format: T<hex tile>:P<decimal palette>[:H|V|HV]
# Example: T01F:P2:H = tile 0x01F, palette 2, horizontal flip
width 32
height 32

map 0 # BG3, screen block 6
T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0 T001:P0
T007:P0 T016:P0 T016:P0 T007:P0 T016:P0 T007:P0 T007:P0 T016:P0 T016:P0 T016:P0 T007:P0 T016:P0 T016:P0 T016:P0 T007:P0 T00D:P0 T007:P0 T016:P0 T00D:P0 T016:P0 T016:P0 T007:P0 T007:P0 T016:P0 T016:P0 T016:P0 T016:P0 T007:P0 T007:P0 T007:P0 T016:P0 T016:P0
T007:P0 T016:P0 T016:P0 T007:P0 T00D:P0 T016:P0 T007:P0 T016:P0 T016:P0 T016:P0 T007:P0 T00D:P0 T00D:P0 T00D:P0 T007:P0 T016:P0 T00D:P0 T016:P0 T00D:P0 T016:P0 T016:P0 T007:P0 T007:P0 T016:P0 T00D:P0 T00D:P0 T016:P0 T007:P0 T016:P0 T007:P0 T016:P0 T016:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0 T020:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0

map 1 # BG2, screen block 7
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T012:P1 T013:P1 T014:P1 T015:P1 T015:P1:H T014:P1:H T013:P1:H T012:P1:H T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T012:P1 T013:P1 T014:P1 T015:P1 T015:P1:H T014:P1:H T013:P1:H T012:P1:H T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T021:P1 T022:P1 T023:P1 T024:P1 T025:P1 T025:P1:H T024:P1:H T023:P1:H T022:P1:H T021:P1:H T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T021:P1 T022:P1 T023:P1 T024:P1 T025:P1 T025:P1:H T024:P1:H T023:P1:H T022:P1:H T021:P1:H T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T00E:P1 T00F:P1 T01E:P1 T01F:P1 T02E:P1 T02F:P1 T02F:P1:H T02E:P1:H T01F:P1:H T01E:P1:H T00F:P1:H T00E:P1:H T000:P0 T000:P0 T000:P0 T000:P0 T00E:P1 T00F:P1 T01E:P1 T01F:P1 T02E:P1 T02F:P1 T02F:P1:H T02E:P1:H T01F:P1:H T01E:P1:H T00F:P1:H T00E:P1:H T000:P0 T000:P0
T000:P0 T000:P0 T017:P1 T018:P1 T019:P1 T01A:P1 T01B:P1 T01C:P1 T01C:P1:H T01B:P1:H T01A:P1:H T019:P1:H T018:P1:H T017:P1:H T000:P0 T000:P0 T000:P0 T000:P0 T017:P1 T018:P1 T019:P1 T01A:P1 T01B:P1 T01C:P1 T01C:P1:H T01B:P1:H T01A:P1:H T019:P1:H T018:P1:H T017:P1:H T000:P0 T000:P0
T000:P0 T000:P0 T027:P1 T028:P1 T029:P1 T02A:P1 T02B:P1 T02C:P1 T02C:P1:H T02B:P1:H T02A:P1:H T029:P1:H T028:P1:H T027:P1:H T000:P0 T000:P0 T000:P0 T000:P0 T027:P1 T028:P1 T029:P1 T02A:P1 T02B:P1 T02C:P1 T02C:P1:H T02B:P1:H T02A:P1:H T029:P1:H T028:P1:H T027:P1:H T000:P0 T000:P0
T000:P0 T000:P0 T026:P1 T028:P1 T029:P1 T02A:P1 T02B:P1 T02C:P1 T02C:P1:H T02B:P1:H T02A:P1:H T029:P1:H T028:P1:H T026:P1:H T000:P0 T000:P0 T000:P0 T000:P0 T026:P1 T028:P1 T029:P1 T02A:P1 T02B:P1 T02C:P1 T02C:P1:H T02B:P1:H T02A:P1:H T029:P1:H T028:P1:H T026:P1:H T000:P0 T000:P0
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H T02C:P1:H
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0 T000:P0
